"Step","robust-puddle-9 - psnr","robust-puddle-9 - psnr__MIN","robust-puddle-9 - psnr__MAX"
"253","34.670379638671875","34.670379638671875","34.670379638671875"
"255","30.381210327148438","30.381210327148438","30.381210327148438"
"256","34.40184783935547","34.40184783935547","34.40184783935547"
"257","34.466068267822266","34.466068267822266","34.466068267822266"
"258","34.495487213134766","34.495487213134766","34.495487213134766"
"259","34.524749755859375","34.524749755859375","34.524749755859375"
"260","34.53102493286133","34.53102493286133","34.53102493286133"
"261","34.53333282470703","34.53333282470703","34.53333282470703"
"262","34.528892517089844","34.528892517089844","34.528892517089844"
"263","34.54254913330078","34.54254913330078","34.54254913330078"
"264","34.543212890625","34.543212890625","34.543212890625"
"265","34.55967330932617","34.55967330932617","34.55967330932617"
"266","34.56351852416992","34.56351852416992","34.56351852416992"
"267","34.562217712402344","34.562217712402344","34.562217712402344"
"268","34.56482696533203","34.56482696533203","34.56482696533203"
"269","34.554691314697266","34.554691314697266","34.554691314697266"
"270","34.576927185058594","34.576927185058594","34.576927185058594"
"271","34.5837287902832","34.5837287902832","34.5837287902832"
"272","34.585662841796875","34.585662841796875","34.585662841796875"
"273","34.59458541870117","34.59458541870117","34.59458541870117"
"274","34.58014678955078","34.58014678955078","34.58014678955078"
"275","34.58221435546875","34.58221435546875","34.58221435546875"
"276","34.58942413330078","34.58942413330078","34.58942413330078"
"277","34.57948684692383","34.57948684692383","34.57948684692383"
"278","34.575111389160156","34.575111389160156","34.575111389160156"
"279","34.595027923583984","34.595027923583984","34.595027923583984"
"280","34.60211181640625","34.60211181640625","34.60211181640625"
"281","34.593509674072266","34.593509674072266","34.593509674072266"
"282","34.59066390991211","34.59066390991211","34.59066390991211"
"283","34.58633041381836","34.58633041381836","34.58633041381836"
"284","34.59796905517578","34.59796905517578","34.59796905517578"
"285","34.59246826171875","34.59246826171875","34.59246826171875"
"286","34.60992431640625","34.60992431640625","34.60992431640625"
"287","34.60127258300781","34.60127258300781","34.60127258300781"
"288","34.59187316894531","34.59187316894531","34.59187316894531"
"289","34.599002838134766","34.599002838134766","34.599002838134766"
"290","34.59145736694336","34.59145736694336","34.59145736694336"
"291","34.59347915649414","34.59347915649414","34.59347915649414"
"292","34.59775161743164","34.59775161743164","34.59775161743164"
"293","34.59882736206055","34.59882736206055","34.59882736206055"
"294","34.60541534423828","34.60541534423828","34.60541534423828"
"295","34.611244201660156","34.611244201660156","34.611244201660156"
"296","34.5908088684082","34.5908088684082","34.5908088684082"
"297","34.61217498779297","34.61217498779297","34.61217498779297"
"298","34.60386657714844","34.60386657714844","34.60386657714844"
"299","34.60987091064453","34.60987091064453","34.60987091064453"
"300","34.599464416503906","34.599464416503906","34.599464416503906"
"301","34.59910583496094","34.59910583496094","34.59910583496094"
"302","34.610107421875","34.610107421875","34.610107421875"
"303","34.60905075073242","34.60905075073242","34.60905075073242"
"304","34.6024169921875","34.6024169921875","34.6024169921875"
"306","30.4258975982666","30.4258975982666","30.4258975982666"
"307","34.310577392578125","34.310577392578125","34.310577392578125"
"308","34.377864837646484","34.377864837646484","34.377864837646484"
"309","34.42909240722656","34.42909240722656","34.42909240722656"
"310","34.4288444519043","34.4288444519043","34.4288444519043"
"311","34.4692497253418","34.4692497253418","34.4692497253418"
"312","34.46090316772461","34.46090316772461","34.46090316772461"
"313","34.46205520629883","34.46205520629883","34.46205520629883"
"314","34.4661750793457","34.4661750793457","34.4661750793457"
"315","34.48130416870117","34.48130416870117","34.48130416870117"
"316","34.482696533203125","34.482696533203125","34.482696533203125"
"317","34.48934555053711","34.48934555053711","34.48934555053711"
"318","34.46666717529297","34.46666717529297","34.46666717529297"
